				Main Stats										TM #																
Skull Bash	130	Normal	Physical	10	16	130	100%	4.17	0	Selected	Raises User's Def by 1; Attacks Next Turn		100%	40																
Spike Cannon	131	Normal	Physical	15	24	20	100%	4.17	0	Selected	HIts 2-5 Times		100%																	
Constrict	132	Normal	Physical	35	56	10	100%	4.17	0	Selected	Lowers Foe's Spd by 1		10%																	
Amnesia	133	Psychic	Status	20	32	0	101%	None	0	Self	Raises User's Sp. Def by 2		100%														17			128
Kinesis	134	Psychic	Status	15	24	0	80%	None	0	Selected	Lowers Foe's Accuracy by 1		100%																	
Soft-Boiled	135	Normal	Status	5	8	0	101%	None	0	Selected				41																
High Jump Kick	136	Fighting	Physical	10	16	130	90%	4.17	0	Selected	50% Recoil if Miss		100%																	
Glare	137	Normal	Status	30	48	0	100%	None	0	Selected	Paralyzes Foe		100%																	
Dream Eater	138	Psychic	Special	15	24	100	100%	4.17	0	Selected	50% Lifesteal; Fails if Foe is Not Asleep		100%	42	42			85	85	85	85	85	85		59			85		
Poison Gas	139	Poison	Status	40	64	0	90%	None	0	Adjacent Foes																				
Barrage	140	Normal	Physical	20	32	15	85%	4.17	0	Selected	Hits 2-5 Times in a Row	37.5% for 2 37.5% for 3 12.5% for 4 12.5% for 5	--%																	
Leech Life	141	Bug	Physical	10	16	80	100%	4.17	0	Selected	50% Lifesteal		100%										28				18			95
Lovely Kiss	142	Normal	Status	10	16	0	75%	None	0	Selected	Sleeps Foe		100%																	
Sky Attack	143	Flying	Physical	5	8	140	90%	12.5	0	Selected	Flinches Foe		30%	43																
Transform	144	Normal	Status	10	16	0	101%	None	0	Selected																				
Bubble	145	Water	Special	30	48	40	100%	4.17	0	Adjacent Foes	Lowers Foe's Spd by 1		10%																	
Dizzy Punch	146	Normal	Physical	10	16	70	100%	4.17	0	Selected	Confuses Foe		20%																	
Spore	147	Grass	Status	15	24	0	100%	None	0	Selected																				
Flash	148	Normal	Status	20	32	0	100%	None	0	Selected	Lowers Foe's Accuracy		100%					70	70	70	70	70						70		
Psywave	149	Psychic	Special	15	24	0	100%	4.17	0	Selected				46																
Splash	150	Normal	Status	40	64	0	101%	None	0	Selected																				
Acid Armor	151	Poison	Status	20	32	0	101%	None	0	Self	Raises User's Def by 2																			
Crabhammer	152	Water	Physical	10	16	100	90%	12.5	0	Selected																				
Explosion	153	Normal	Physical	5	8	250	100%	4.17	0	All Adjacent	User Faints		100%	47				64	64	64	64	64	64					64		
Fury Swipes	154	Normal	Physical	15	24	18	80%	4.17	0	Selected	HIts 2-5 Times		100%																	
Bonemerang	155	Ground	Physical	10	16	50	90%	4.17	0	Selected	Hits 2 Times		100%																	
Rest	156	Psychic	Status	5	8	0	101%	None	0	Selected				44	44	44	44	44	44	44	44	44	44		5	21		44		85
Rock Slide	157	Rock	Physical	10	16	75	90%	4.17	0	Adjacent Foes	Flinches Foe		30%	48				39	39	80	80	80	80		22	22		39		86
Hyper Fang	158	Normal	Physical	15	24	80	90%	4.17	0	Selected	Flinches Foe		10%																	
Sharpen	159	Normal	Status	30	48	0	101%	None	0	Selected	Raises User' Atk by 1		100%																	
Conversion	160	Normal	Status	30	48	0	101%	None	0	Selected	Changes Type to User's First Move's Type		100%																	
Tri Attack	161	Normal	Special	10	16	80	100%	4.17	0	Selected	Burns, Freezes, or Paralyzes Foe		20%	49											28		19			
Super Fang	162	Normal	Physical	10	16	0	90%	4.17	0	Selected	Foe Loses 50% of Current HP		100%																	183
Slash	163	Normal	Physical	20	32	70	100%	12.5	0	Selected																				
Substitute	164	Normal	Status	10	16	0	101%	None	0	Selected				50				90	90	90	90	90	90		8		20	90		103
Struggle	165	Normal	Physical	1	1	50	101%	4.17	0	Selected																				
Sketch	166	Normal	Status	1	1	0	101%	None	0	Selected																				
Triple Kick	167	Fighting	Physical	10	16	10	90%	4.17	0	Selected																				
Thief	168	Dark	Physical	25	40	60	100%	4.17	0	Selected					46	46	46	46	46	46	46	46	46			23		46		18
Spider Web	169	Bug	Status	10	16	0	101%	None	0	Selected																				
Mind Reader	170	Normal	Status	5	8	0	101%	None	0	Selected	User's Next Move will Not Fail		100%																	
Nightmare	171	Ghost	Status	15	24	0	100%	None	0	Selected	Sleeping Foes Lose 1/4 HP Every Turn		100%		50															
Flame Wheel	172	Fire	Physical	25	40	60	100%	4.17	0	Selected	Burns Foe		10%																	
Snore	173	Normal	Special	15	24	50	100%	4.17	0	Selected	Fails if User is Not Asleep				13											24				
Curse	174	Ghost	Status	10	16	0	101%	None	0	Selected	Raises User's Atk and Def by 1; Lowers User's Spd by 1		100%		3															224
Curse (Ghost)	174										User Loses 50% HP; Foe Recieves Effects of Nightmare		100%		3															224
Flail	175	Normal	Physical	15	24	0	100%	4.17	0	Selected	Higher Power the Lower the User's HP		100%																	
Conversion 2	176	Normal	Status	30	48	0	101%	None	0	Selected	User Changes Type to be Resistant to Foe's Last Move		100%																	
Aeroblast	177	Flying	Special	5	8	100	95%	12.5	0	Selected																				
Cotton Spore	178	Grass	Status	40	64	0	100%	None	0	Adjacent Foes	Lowers Foe's Spd by 2		100%																	
Reversal	179	Fighting	Physical	15	24	0	100%	4.17	0	Selected																	21			134
Spite	180	Ghost	Status	10	16	0	100%	None	0	Selected																				177
Powder Snow	181	Ice	Special	25	40	40	100%	4.17	0	Adjacent Foes	Freezes Foe		10%																	
Protect	182	Normal	Status	10	16	0	101%	None	4	Selected					17	17	17	17	17	17	17	17	17		7	25		17		7
Mach Punch	183	Fighting	Physical	30	48	40	100%	4.17	1	Selected																				
Scary Face	184	Normal	Status	10	16	0	100%	None	0	Selected	Lowers Foe's Spd by 2		100%													26				6
Feint Attack	185	Dark	Physical	20	32	60	101%	4.17	0	Selected	Can Not Miss		100%																	
Sweet Kiss	186	Fairy	Status	10	16	0	75%	None	0	Selected																				
Belly Drum	187	Normal	Status	10	16	0	101%	None	0	Self	User Loses 50% HP; Raises User's Atk by 8																			
Sludge Bomb	188	Poison	Special	10	16	90	100%	4.17	0	Selected	Poisons Foe		30%		36	36	36	36	36	36	36	36	36		52		22	36		148
Mud-Slap	189	Ground	Special	10	16	20	100%	4.17	0	Selected	Lowers Foe's Accuracy by 1		100%		31															5
Octazooka	190	Water	Special	10	16	65	85%	4.17	0	Selected	Lowers Foe's Accuracy by 1		50%																	
Spikes	191	Ground	Status	20	32	0	101%	None	0	All Foes																	23			90
Zap Cannon	192	Electric	Special	5	8	120	50%	4.17	0	Selected	Paralyzes Foe		100%		7															
Foresight	193	Normal	Status	40	64	0	101%	None	0	Selected	Ignores High Evasion; Ghost-Types Can be Hit with Normal-Type Moves		100%																	
Destiny Bond	194	Ghost	Status	5	8	0	101%	None	0	Selected	If User Faints, Foe that Knocked Out User Faints; Fails on Successive Uses		100%																	
Perish Song	195	Normal	Status	5	8	0	101%	None	0	All																				
Icy Wind	196	Ice	Special	15	24	55	95%	4.17	0	Adjacent Foes	Lowers Foe's Spd by 1		100%		16											27				34
Detect	197	Fighting	Status	5	8	0	101%	None	4	Selected	Protects User from Attacks	Success: 1 / ((Successive Use)-1)^3)	100%		43															
Bone Rush	198	Ground	Physical	10	16	25	90%	4.17	0	Selected	HIts 2-5 Times		100%																	
Lock-On	199	Normal	Status	5	8	0	101%	None	0	Selected	User's Next Move will Not Fail		100%																	
Outrage	200	Dragon	Physical	10	16	120	100%	4.17	0	Selected	Uses Same Move for 2-3 Turns; Confuses User After		100%												39		24			156
Sandstorm	201	Rock	Status	10	16	0	101%	None	0	All	Activates Sandstorm		100%		37	37	37	37	37	37	37	37	37			32		37		51
Giga Drain	202	Grass	Special	10	16	75	100%	4.17	0	Selected	50% Lifesteal		100%		19	19	19	19	19							28		19		111
Endure	203	Normal	Status	10	16	0	101%	None	4	Selected	Endures Any Attack with At Least 1 HP	Success: 1 / ((Successive Use)-1)^3)	100%		20			58	58								26	58		47
Charm	204	Fairy	Status	20	32	0	100%	None	0	Selected	Lowers Foe's Atk by 2		100%													29				2
Rollout	205	Rock	Physical	20	32	30	90%	4.17	0	Selected					4															
False Swipe	206	Normal	Physical	40	64	40	100%	4.17	0	Selected	Leaves Foe with At Least 1 HP		100%					54	54	54	54	54	54			94		54		57
Swagger	207	Normal	Status	15	24	0	85%	None	0	Selected	Confuses Foe; Raises Foe's Atk by 2		100%		34			87	87	87	87	87	87					87		
Milk Drink	208	Normal	Status	5	8	0	101%	None	0	Selected	Heals 50% HP		100%																	
Spark	209	Electric	Physical	20	32	65	100%	4.17	0	Selected	Paralyzes Foe		30%																	
Fury Cutter	210	Bug	Physical	20	32	40	95%	4.17	0	Selected	Power Increases on Successive Uses		100%		49															
Steel Wing	211	Steel	Physical	25	40	70	90%	4.17	0	Selected	Raises User's Def by 1		10%		47	47	47	47	47		51	51	51			30		47		
Mean Look	212	Normal	Status	5	8	0	101%	None	0	Selected	Traps Foe		100%																	
Attract	213	Normal	Status	15	24	0	100%	None	0	Selected	Infatuates Foe if they are Opposite Gender		100%		45	45	45	45	45	45	45	45	45			31		45		
Sleep Talk	214	Normal	Status	10	16	0	101%	None	0	Selected					35			82	82		88	88	88				27	82		70
Heal Bell	215	Normal	Status	5	8	0	—%	None	0	All Allies	Heals Party's Statuses		100%																	
Return	216	Normal	Physical	20	32	0	100%	4.17	0	Selected	BP = Happiness / 2.5		100%		27	27	27	27	27	27	27	27	27							
Present	217	Normal	Physical	15	24	0	90%	4.17	0	Selected	80% to Attack, 20% to Heal		100%																	
Frustration	218	Normal	Physical	20	32	0	100%	4.17	0	Selected	BP = (255 - Happiness) / 2.5		100%		21	21	21	21	21	21	21	21	21							
Safeguard	219	Normal	Status	25	40	0	101%	None	0	All Allies						20	20	20	20	20	20	20	20			19		20		
Pain Split	220	Normal	Status	20	32	0	101%	None	0	Selected	Evenly Distributes HP with User and Foe		100%																	202
Sacred Fire	221	Fire	Physical	5	8	100	95%	4.17	0	Selected	Burns Foe		50%																	
Magnitude	222	Ground	Physical	30	48	0	100%	4.17	0	All Adjacent	Chooses a Random BP Between 10-150		100%																	
Dynamic Punch	223	Fighting	Physical	5	8	100	50%	4.17	0	Selected	Confuses Foe		100%		1															
Megahorn	224	Bug	Physical	10	16	120	85%	4.17	0	Selected															60		28			
Dragon Breath	225	Dragon	Special	20	32	60	100%	4.17	0	Selected	Paralyzes Foe		30%		24															
Baton Pass	226	Normal	Status	40	64	0	101%	None	0	Self	User Switches Out; Passes All Stat Changes		100%														29			132
Encore	227	Normal	Status	5	8	0	100%	None	0	Selected	Foe Uses the Same Move for 3 Turns		100%														30			122
Pursuit	228	Dark	Physical	20	32	40	100%	4.17	0	Selected																				
Rapid Spin	229	Normal	Physical	40	64	50	100%	4.17	0	Selected	Raises User's Spd by 1; Removes Trapping Moves		100%																	
Sweet Scent	230	Normal	Status	20	32	0	100%	None	0	Adjacent Foes	Lowers Foe's Evasion by 2		100%		12															
Iron Tail	231	Steel	Physical	15	24	100	75%	4.17	0	Selected	Lowers Foe's Def by 1		10%		23	23	23	23	23						19		31	23		
Metal Claw	232	Steel	Physical	35	56	50	95%	4.17	0	Selected	Raises User's Atk by 1		10%																	31
Vital Throw	233	Fighting	Physical	10	16	70	101%	4.17	-1	Selected	Can Not Miss		100%																	
Morning Sun	234	Normal	Status	5	8	0	101%	None	0	Selected	Heals 50% HP; 66.66% in Sunshine; 25% in Rain, Hail, Sandstorm		100%																	
Synthesis	235	Grass	Status	5	8	0	101%	None	0	Selected	Heals 50% HP; 66.66% in Sunshine; 25% in Rain, Hail, Sandstorm		100%																	
Moonlight	236	Fairy	Status	5	8	0	101%	None	0	Selected	Heals 50% HP; 66.66% in Sunshine; 25% in Rain, Hail, Sandstorm		100%																	
Hidden Power	237	Normal	Special	15	24	60	100%	4.17	0	Selected	Move Type Depends on User's IVs		100%		10	10	10	10	10	10	10	10	10							
Cross Chop	238	Fighting	Physical	5	8	100	80%	12.5	0	Selected																				
Twister	239	Dragon	Special	20	32	40	100%	4.17	0	Adjacent Foes	Flinches Foe; 100% Damage if Foe is Using Fly		20%																	
Rain Dance	240	Water	Status	5	8	0	101%	None	0	All	Activates Rain		100%		18	18	18	18	18	18	18	18	18			33		18		50
Sunny Day	241	Fire	Status	5	8	0	101%	None	0	All	Activates Sunshine		100%		11	11	11	11	11	11	11	11	11			34		11		49
Crunch	242	Dark	Physical	15	24	80	100%	4.17	0	Selected	Lowers Foe's Def by 1		20%														32			108
Mirror Coat	243	Psychic	Special	20	32	0	100%	4.17	-5	Selected	If Hit by a Special Attack, 100% Damage Recieved																			
Psych Up	244	Normal	Status	10	16	0	101%	None	0	Selected					9			77	77	77	77	77	77					77		203
Extreme Speed	245	Normal	Physical	5	8	80	100%	4.17	2	Selected																				
Ancient Power	246	Rock	Special	5	8	60	100%	4.17	0	Selected	Raises All of User's Stats by 1		10%																	
Shadow Ball	247	Ghost	Special	15	24	80	100%	4.17	0	Selected	Lowers Foe's Sp. Def by 1		20%		30	30	30	30	30	30	30	30	30		43		33	30		114
Future Sight	248	Psychic	Special	10	16	120	100%	4.17	0	Selected	Hits Foe After 2 Turns		100%														34			217
Rock Smash	249	Fighting	Physical	15	24	40	100%	4.17	0	Selected	Lowers Foe's Def by 1		50%		8					94	94							98		
Whirlpool	250	Water	Special	15	24	35	85%	4.17	0	Selected																36				208
Beat Up	251	Dark	Physical	10	16	1	100%	4.17	0	Selected	More Damage Per Healthy Party Member	BaseAtk/10 + 5	--%													37				
Fake Out	252	Normal	Physical	10	16	40	100%	4.17	3	Selected	Works Only on the First Turn Out; Flinches Foe		100%																	3
Uproar	253	Normal	Special	10	16	90	100%	4.17	0	Selected																	35			191
Stockpile	254	Normal	Status	20	32	0	101%	None	0	Selected	Raises User's Def and Sp. Def by 1; Can Stack up to 3 Times		100																	
Spit Up	255	Normal	Special	10	16	0	100%	4.17	0	Selected																				
Swallow	256	Normal	Status	10	16	0	101%	None	0	Selected																				
Heat Wave	257	Fire	Special	10	16	95	90%	4.17	0	Adjacent Foes	Burns Foe		10%														36			118
Hail	258	Ice	Status	10	16	0	101%	None	0	All	Activates Hail		100%			7	7	7	7	7	7	7	7			35		7		
Torment	259	Dark	Status	15	24	0	100%	None	0	Selected						41	41	41	41	41	41	41	41					41		
Flatter	260	Dark	Status	15	24	0	100%	None	0	Selected	Confuses Foe; Raises Foe's Sp. Atk by 1		100%																	
